product_name,rating,review_text,review_title,is_negative
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,I don't know if I would buy thus brand again seems like they don't last as long as Duracell,... know if I would buy thus brand again seems like they don't last as long as Duracell,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"In my opinion these did not last anywhere near as long as Duracel in things like LED candles (which is crazy) and trail cameras. Cameras were not exposed to cold temps more or less than other batteries. WE buy in bulk for the north house. Amazon Basics is great for things like sheets and beeding and towels. In my opinion the battery life, in the large package of aaa and aa size we purchased were lacking.",... last anywhere near as long as Duracel in things like LED candles (which is crazy) and trail cameras,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,These do not last long at all very cheap batteries no happy,... not last long at all very cheap batteries no happy,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"These batteries are horrible. We depend on AA batteries for many wireless microphone and have found that brand-name batteries last about a month per our usage. We switched to Amazon basics to try it out when a subscription for our preferred brand was no longer available and have found that, under the same usage, these batteries last about a week. That's a 1/4 capacity.",1/4 Capacity Batteries,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"First time I bought these they worked well and lasted almost as long as the name brands. Not the same this time around, almost no charge - 4-6 hours of run time - Junk batteries.","1st purchase was good, this time they are junk!",True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,These batteries don't last even in a simple digital clock. 2 weeks at best.,2 weeks at best.,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"Date on the back of these were 1992. Yeah, 1992. Inedible.","24 year old Bon Bons, anyone",True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Battery storage life only lasted 8 months (stored indoors).,8 Month Storage Life,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"If it's possible to have gotten a dud batch I sure got it. We BLEW through all these batteries in less than a month. My kids toys aren't that super powered and even in remotes I was having to change batteries way too often. For example the magic touch counting toy, the store batteries lasted 3 years. Popped in some Amazon batteries, 1 month and the second child didn't play with it nearly as much as the first. For the price it was worth the try but I'm going back to the other brands.",A bad batch,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"I can only use these on those indoor flameless candles and even then, they dont last very long...a little disappointed...",a little disappointed..,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,During my first recharging they were leaking and wrapping was coming off. A waste of money,A waste of,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,TERRIBLE! Barely lasted three hours during a digital camera shoot where Duracell lasts multiple days.,A Waste of Money,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,These don't last long at all.,AAA batteries.,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"Use these in a wireless BT mouse. Has about 30 less life as copper top brand. Good price, but most likely will not buy again.",About 30 less life as other brand - but price is hard to ignore,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"Lasted about a week in my electric toothbrush. Energizer and Duracell brand lasted a month. Tried with 4 different Amazon batteries, same results. Very dissatisfied",Abysmal battery life,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"We use battery operated candles with timers. The batteries normally have to be changed once a month. These cheap batteries lasted 2 weeks. I thought these batteries were a good deal, but I was wrong.",All batteries are not created equal...,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,All the batteries came dead so I did a return and got new ones. Second order was the same as the first.Update: still have yet to receive refund from second order after several weeks!!!,All dead twice,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"Maybe mine is a bad batch, had a serious leak on one of them, these batteries seem to last as long as duracells but duracells never leaked in my experience",Almost ruined my electronics,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"My 37 days old Amazon fire stick quit working, the system was fine it just seemed like the remote wasn't getting any juice. Tried 3 different sets of these batteries in it and it still wouldn't work-and yes, I put them in the right way. Contacted Amazon about the limited warranty on remote as it was just past 30 days purchased and couldn't return, but before sending back for warranty service and being without TV for who knows how long and just to make sure, I bought some energizer batteries. Wouldn't you know it, the remote fired right back up. Can't trust these batteries.",Amazon Batteries Are Crap in Amazon Remote,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"I use hundreds of AAAs annually, and despite the graphics in ad, these are about the poorest performing, with least longevity, of any I have bought. Still have another 100 of these, but will likely go thru those quickly.",Amazon batteries did not perform for me,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,Does not last as long as Duracell quantum. These were sent as a supplement,Amazon performance batteries,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"These are budget friendly but don't last! I bought for my battery operated candles that typically use batteries for 6-8 weeks. Twice these batteries barely lasted 1 week. It was so disappointing. Amazon produce are usually so good, but I would not recommend these.","Amazon produce are usually so good, but I would not recommend these",True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"Approximately half of the batteries I've tried so far are dead. Low expectations for the remainder of the lot, and never buy these again.",Approximately half of the batteries I've tried so far are ...,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"At least half of this batch had no charge, or at least so little that they died within an hour of being put in a walkie-talkie. Very disappointed",At least half of these had little to no charge,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,These were OK. I don't think I'll but them in the future. I prefer Energizers.,Average,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,These batteries won't last long. An led flashlight will drain them in a hurry. I usually like Amazon products but this is one to avoid.,Avoid these.,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"I've been using these on my roku remote and the lifespan is terrible. About two weeks, when Duracell's have been 1-2 months",Awful lifespan,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Awful poor performance. My mouse ran for several weeks to several months from Duracells but have never gotten more that several days from these. Will not buy again.,Awful poor performance. My mouse ran for several weeks to ...,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,These batteries do not hold charge well. By the time I need to use it few weeks none of them work,BAD Amazone product,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"BAD BATCH NOT LASTING!Have been using these for the Roku Remote, and they are dying after just a few days of use.Have been happy with Amazon battery purchases in the past.Not sure if the quality is overall lower than it once was, or if this was just a bad batch.",BAD BATCH NOT LASTING,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,They for really fast,Bad batteries,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,Some of the four packs (02-2027) are bad upon first use.,Bad batteries within 36PK,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Theses did not work. Wanted to make sure I had batteries for the item I was purchasing but they did not work. I had to dig some out of my junk drawer.,"Bad batteries, they did not work",True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"They last a day in an xbox controller, if you're lucky",Bad life,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Many of the batteries are no good.,Bad quality,True
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Wish I didn't buy these. Amazon does a lot of things well but batteries No. Not so much. These do not work for more than a moment. Lay the extra for name brand.,Bah,True
