index,product_name,rating,review_text
0,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,I don't know if I would buy thus brand again seems like they don't last as long as Duracell
1,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"In my opinion these did not last anywhere near as long as Duracel in things like LED candles (which is crazy) and trail cameras. Cameras were not exposed to cold temps more or less than other batteries. WE buy in bulk for the north house. Amazon Basics is great for things like sheets and beeding and towels. In my opinion the battery life, in the large package of aaa and aa size we purchased were lacking."
2,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,These do not last long at all very cheap batteries no happy
3,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"These batteries are horrible. We depend on AA batteries for many wireless microphone and have found that brand-name batteries last about a month per our usage. We switched to Amazon basics to try it out when a subscription for our preferred brand was no longer available and have found that, under the same usage, these batteries last about a week. That's a 1/4 capacity."
4,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"First time I bought these they worked well and lasted almost as long as the name brands. Not the same this time around, almost no charge - 4-6 hours of run time - Junk batteries."
5,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,These batteries don't last even in a simple digital clock. 2 weeks at best.
6,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"Date on the back of these were 1992. Yeah, 1992. Inedible."
7,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,Battery storage life only lasted 8 months (stored indoors).
8,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"If it's possible to have gotten a dud batch I sure got it. We BLEW through all these batteries in less than a month. My kids toys aren't that super powered and even in remotes I was having to change batteries way too often. For example the magic touch counting toy, the store batteries lasted 3 years. Popped in some Amazon batteries, 1 month and the second child didn't play with it nearly as much as the first. For the price it was worth the try but I'm going back to the other brands."
9,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"I can only use these on those indoor flameless candles and even then, they dont last very long...a little disappointed..."
10,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,During my first recharging they were leaking and wrapping was coming off. A waste of money
11,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,TERRIBLE! Barely lasted three hours during a digital camera shoot where Duracell lasts multiple days.
12,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,These don't last long at all.
13,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"Use these in a wireless BT mouse. Has about 30 less life as copper top brand. Good price, but most likely will not buy again."
14,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"Lasted about a week in my electric toothbrush. Energizer and Duracell brand lasted a month. Tried with 4 different Amazon batteries, same results. Very dissatisfied"
15,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"We use battery operated candles with timers. The batteries normally have to be changed once a month. These cheap batteries lasted 2 weeks. I thought these batteries were a good deal, but I was wrong."
16,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,All the batteries came dead so I did a return and got new ones. Second order was the same as the first.Update: still have yet to receive refund from second order after several weeks!!!
17,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"Maybe mine is a bad batch, had a serious leak on one of them, these batteries seem to last as long as duracells but duracells never leaked in my experience"
18,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"My 37 days old Amazon fire stick quit working, the system was fine it just seemed like the remote wasn't getting any juice. Tried 3 different sets of these batteries in it and it still wouldn't work-and yes, I put them in the right way. Contacted Amazon about the limited warranty on remote as it was just past 30 days purchased and couldn't return, but before sending back for warranty service and being without TV for who knows how long and just to make sure, I bought some energizer batteries. Wouldn't you know it, the remote fired right back up. Can't trust these batteries."
19,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"I use hundreds of AAAs annually, and despite the graphics in ad, these are about the poorest performing, with least longevity, of any I have bought. Still have another 100 of these, but will likely go thru those quickly."
20,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,Does not last as long as Duracell quantum. These were sent as a supplement
